taskset -c 1  dd if=/dev/zero of=/dev/null &
taskset -c 2  dd if=/dev/zero of=/dev/null &
taskset -c 3  dd if=/dev/zero of=/dev/null &
taskset -c 4  dd if=/dev/zero of=/dev/null &
taskset -c 5  dd if=/dev/zero of=/dev/null &
taskset -c 6  dd if=/dev/zero of=/dev/null &
taskset -c 7  dd if=/dev/zero of=/dev/null &
taskset -c 9  dd if=/dev/zero of=/dev/null &
taskset -c 10  dd if=/dev/zero of=/dev/null &
taskset -c 11 dd if=/dev/zero of=/dev/null &
taskset -c 12  dd if=/dev/zero of=/dev/null &
taskset -c 13  dd if=/dev/zero of=/dev/null &
taskset -c 14  dd if=/dev/zero of=/dev/null &
taskset -c 15  dd if=/dev/zero of=/dev/null &
sar -P ALL 10 &

Linux 4.18.0-305.25.1.el8_4.x86_64 (nyl96i-9922) 	08/22/2022 	_x86_64_	(16 CPU)

04:33:38 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:33:48 PM     all      5.23      0.00     84.70      0.00      0.00     10.08
04:33:48 PM       0      3.54      0.00     14.46      0.00      0.00     82.00
04:33:48 PM       1      4.10      0.00     95.90      0.00      0.00      0.00
04:33:48 PM       2      4.20      0.00     95.80      0.00      0.00      0.00
04:33:48 PM       3      3.90      0.00     96.10      0.00      0.00      0.00
04:33:48 PM       4      4.10      0.00     95.90      0.00      0.00      0.00
04:33:48 PM       5      4.00      0.00     96.00      0.00      0.00      0.00
04:33:48 PM       6      3.90      0.00     96.10      0.00      0.00      0.00
04:33:48 PM       7      4.10      0.00     95.90      0.00      0.00      0.00
04:33:48 PM       8      6.94      0.00     12.68      0.00      0.00     80.38
04:33:48 PM       9      6.41      0.00     93.59      0.00      0.00      0.00
04:33:48 PM      10      6.41      0.00     93.59      0.00      0.00      0.00
04:33:48 PM      11      6.50      0.00     93.50      0.00      0.00      0.00
04:33:48 PM      12      6.40      0.00     93.60      0.00      0.00      0.00
04:33:48 PM      13      6.30      0.00     93.70      0.00      0.00      0.00
04:33:48 PM      14      6.50      0.00     93.50      0.00      0.00      0.00
04:33:48 PM      15      6.30      0.00     93.70      0.00      0.00      0.00

04:33:48 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:33:58 PM     all     17.43      0.00     73.73      0.01      0.00      8.84
04:33:58 PM       0      7.82      0.00     16.75      0.00      0.00     75.43
04:33:58 PM       1     17.30      0.00     82.70      0.00      0.00      0.00
04:33:58 PM       2     17.80      0.00     82.20      0.00      0.00      0.00
04:33:58 PM       3     17.38      0.00     82.62      0.00      0.00      0.00
04:33:58 PM       4     17.70      0.00     82.30      0.00      0.00      0.00
04:33:58 PM       5     17.38      0.00     82.62      0.00      0.00      0.00
04:33:58 PM       6     17.48      0.00     82.52      0.00      0.00      0.00
04:33:58 PM       7     17.32      0.00     82.68      0.00      0.00      0.00
04:33:58 PM       8     15.82      0.00     17.82      0.10      0.00     66.27
04:33:58 PM       9     19.28      0.00     80.72      0.00      0.00      0.00
